City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.36,few clouds,-9.8,-139.0333,Villa Enata
4,Sao Joao Da Barra,BR,73.49,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
5,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
10,Rikitea,PF,73.44,broken clouds,-23.1203,-134.9692,People ThankYou
12,Cockburn Town,TC,82.33,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
19,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
27,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
28,Bengkulu,ID,76.3,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
35,Kavaratti,IN,82.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
36,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Tessalit,ML,75.2,overcast clouds,20.1986,1.0114,
39,Neiafu,TO,79.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
41,Kismayo,SO,78.73,broken clouds,-0.3582,42.5454,Agan-Hotel
42,Laguna,US,72.14,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
43,Tocopilla,CL,68.47,scattered clouds,-22.092,-70.1979,Hotel Galvarino
45,Namatanai,PG,79.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
51,Sabang,ID,80.42,overcast clouds,5.8933,95.3214,Hotel Citra
53,Jagdalpur,IN,68.07,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
56,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
