City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.36,75,21,9.57,few clouds
1,East London,ZA,-33.0153,27.9116,67.14,88,40,9.22,light rain
2,Khatanga,RU,71.9667,102.5,-26.3,100,74,5.3,broken clouds
3,Hami,CN,42.8,93.45,28.76,50,76,2.55,broken clouds
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,89,100,11.72,heavy intensity rain
5,Pisco,PE,-13.7,-76.2167,68.05,73,0,10.36,clear sky
6,Yellowknife,CA,62.456,-114.3525,32.41,89,90,12.66,overcast clouds
7,Balaci,RO,44.35,24.9167,43.54,61,100,3.6,overcast clouds
8,Jamestown,US,42.097,-79.2353,63.34,51,1,10.36,clear sky
9,Nishihara,JP,26.1842,127.7558,67.28,52,40,10.36,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,73.44,75,74,2.89,broken clouds
11,Yatou,CN,37.15,122.3833,41.41,57,98,9.55,overcast clouds
12,Cockburn Town,TC,21.4612,-71.1419,82.33,72,57,18.19,broken clouds
13,Dikson,RU,73.5069,80.5464,3.97,90,100,21.65,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,59.11,33,0,23.02,clear sky
15,Albany,US,42.6001,-73.9662,57.81,43,100,3.0,overcast clouds
16,Iqaluit,CA,63.7506,-68.5145,10.13,72,40,3.0,scattered clouds
17,Esperance,AU,-33.8667,121.9,51.64,62,92,14.94,overcast clouds
18,Longyearbyen,SJ,78.2186,15.6401,6.64,61,40,9.22,scattered clouds
19,Kapaa,US,22.0752,-159.319,73.72,82,40,4.61,scattered clouds
20,Georgetown,MY,5.4112,100.3354,79.9,88,20,1.99,few clouds
21,Batagay-Alyta,RU,67.8006,130.4114,-5.19,86,100,2.77,overcast clouds
22,Mosalsk,RU,54.4881,34.9817,32.38,69,100,7.58,overcast clouds
23,Batemans Bay,AU,-35.7167,150.1833,58.1,96,100,2.44,light rain
24,Severo-Kurilsk,RU,50.6789,156.125,43.0,97,100,8.68,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,65.75,83,100,17.13,overcast clouds
26,Tiksi,RU,71.6872,128.8694,-13.56,100,59,6.8,broken clouds
27,Avarua,CK,-21.2078,-159.775,75.25,73,100,8.05,overcast clouds
28,Bengkulu,ID,-3.8004,102.2655,76.3,79,100,3.96,light rain
29,Quzhou,CN,28.9594,118.8686,52.68,65,100,2.17,overcast clouds
30,Cidreira,BR,-30.1811,-50.2056,67.12,62,91,14.38,overcast clouds
31,Bluff,NZ,-46.6,168.3333,59.81,80,100,10.36,overcast clouds
32,Busselton,AU,-33.65,115.3333,51.04,83,36,11.88,scattered clouds
33,Berlevag,NO,70.8578,29.0864,35.55,75,75,17.27,broken clouds
34,Belaya Gora,RU,68.5333,146.4167,-8.91,93,100,4.03,overcast clouds
35,Kavaratti,IN,10.5669,72.642,82.11,67,100,8.84,overcast clouds
36,Souillac,MU,-20.5167,57.5167,76.35,78,75,4.61,light rain
37,Puerto Narino,CO,-3.7703,-70.3831,87.75,79,85,2.86,overcast clouds
38,Tessalit,ML,20.1986,1.0114,75.2,10,100,10.63,overcast clouds
39,Neiafu,TO,-18.65,-173.9833,79.48,83,75,4.61,light rain
40,Muros,ES,42.7762,-9.0603,57.83,81,14,9.13,few clouds
41,Kismayo,SO,-0.3582,42.5454,78.73,82,80,11.16,broken clouds
42,Laguna,US,38.421,-121.4238,72.14,99,90,0.0,mist
43,Tocopilla,CL,-22.092,-70.1979,68.47,64,35,10.31,scattered clouds
44,Fortuna,US,40.5982,-124.1573,65.91,85,1,0.0,clear sky
45,Namatanai,PG,-3.6667,152.4333,79.18,84,62,4.85,light rain
46,Qaanaaq,GL,77.484,-69.3632,-6.74,62,14,7.96,few clouds
47,Cayenne,GF,4.9333,-52.3333,86.04,78,75,3.0,broken clouds
48,Ushuaia,AR,-54.8,-68.3,58.66,44,40,14.97,scattered clouds
49,Nikolskoye,RU,59.7035,30.7861,41.88,89,100,8.88,overcast clouds
50,Varhaug,NO,58.6147,5.6457,46.47,70,62,10.31,broken clouds
51,Sabang,ID,5.8933,95.3214,80.42,76,100,3.91,overcast clouds
52,San Patricio,US,28.017,-97.5169,86.02,58,69,12.71,broken clouds
53,Jagdalpur,IN,19.0667,82.0333,68.07,91,100,4.61,overcast clouds
54,Semnan,IR,35.5729,53.3971,50.7,53,100,7.99,overcast clouds
55,Chuy,UY,-33.6971,-53.4616,65.48,53,6,14.12,clear sky
56,Mahebourg,MU,-20.4081,57.7,76.24,78,75,4.61,light rain
57,Puerto Ayora,EC,-0.7393,-90.3518,75.16,86,71,5.99,broken clouds
58,Vaini,TO,-21.2,-175.2,75.36,88,75,6.91,light rain
59,Sulangan,PH,11.1373,123.7228,82.49,81,100,12.71,overcast clouds
60,Zhezkazgan,KZ,47.8043,67.7144,40.5,54,100,12.59,overcast clouds
